probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
DCP_mlp,12,cross_seed,1000,0.566,0.9521828336942894,0.13761615286910567,0.96,0.95,0.7413333333333333,0.05599894633415299,0.05598529380956918
ARD_ridge,12,cv_5fold,1000,0.566,0.6959339532005667,0.29809276974965176,0.728,0.716,0.652,0.2164746273825253,0.0696169718268967
ARD_ridge,12,cross_seed,1000,0.566,0.9236293172232988,0.1536488731100108,0.972,0.954,0.712,0.08877058845857007,0.04698246561955545
ARD_mlp,12,cv_5fold,1000,0.566,0.7386543127452736,0.28083745865115917,0.804,0.742,0.6626666666666666,0.20329665719132628,0.04773981067947276
ARD_mlp,12,cross_seed,1000,0.566,0.9201445995017179,0.15292737687408334,0.968,0.954,0.7133333333333334,0.08875198203358957,0.04708395771907614
SEPs_ridge,16,cv_5fold,1000,0.566,0.6914477862272232,0.30500972858276165,0.716,0.696,0.656,,
SEPs_ridge,16,cross_seed,1000,0.566,0.7612642686163718,0.26536081096167147,0.756,0.736,0.6986666666666667,,
SEPs_logreg,16,cv_5fold,1000,0.566,0.7424484212926024,0.27058661991068356,0.812,0.75,0.6613333333333333,0.2625441279051521,0.23977519053932167
SEPs_logreg,16,cross_seed,1000,0.566,0.9543689241341127,0.14422939963983442,0.952,0.958,0.7453333333333333,0.05505796954252918,0.0505533975034563
DCP_mlp,16,cv_5fold,1000,0.566,0.7409991695298888,0.2653958736271708,0.828,0.732,0.6666666666666666,0.2848265444239961,0.2825321180974071
DCP_mlp,16,cross_seed,1000,0.566,0.9549286772728013,0.13686065968978672,0.976,0.95,0.736,0.0559979512694303,0.05599064205637745
ARD_ridge,16,cv_5fold,1000,0.566,0.711574473628503,0.28159574163727946,0.78,0.716,0.6506666666666666,0.21239594859425237,0.0756516622986599
ARD_ridge,16,cross_seed,1000,0.566,0.9240811906661675,0.15325927410856102,0.972,0.954,0.712,0.08875490647742,0.04578249815925581
ARD_mlp,16,cv_5fold,1000,0.566,0.7655143215384866,0.25667472695731597,0.812,0.744,0.6813333333333333,0.19376495172049193,0.05631340819178495
ARD_mlp,16,cross_seed,1000,0.566,0.917689827555324,0.15642294780533558,0.96,0.954,0.712,0.08902170424066275,0.04956906049691145
SEPs_ridge,20,cv_5fold,1000,0.566,0.7201722818387586,0.29743872618904577,0.748,0.738,0.6613333333333333,,
SEPs_ridge,20,cross_seed,1000,0.566,0.7790705248245429,0.25054562437899947,0.776,0.77,0.6986666666666667,,
SEPs_logreg,20,cv_5fold,1000,0.566,0.7864551953233134,0.2287214365326192,0.892,0.784,0.672,0.23804708175842768,0.21184525651942349
SEPs_logreg,20,cross_seed,1000,0.566,0.9617535946328832,0.1325059333292977,0.972,0.96,0.7426666666666667,0.05526189124242796,0.0523115726888658
DCP_mlp,20,cv_5fold,1000,0.566,0.7959648922831415,0.21426131126600223,0.896,0.788,0.6773333333333333,0.2354546817376243,0.2174701527557609
DCP_mlp,20,cross_seed,1000,0.566,0.9579961244728143,0.1332887112693423,0.984,0.952,0.7413333333333333,0.05599976936111146,0.05599889216234598
ARD_ridge,20,cv_5fold,1000,0.566,0.7488479262672811,0.26248923587507883,0.82,0.75,0.6653333333333333,0.20181836199480133,0.06640315236435888
ARD_ridge,20,cross_seed,1000,0.566,0.9244312908110923,0.15328737645592522,0.976,0.954,0.712,0.08876756025355659,0.04575984355527031
ARD_mlp,20,cv_5fold,1000,0.566,0.7897689339043494,0.22787373197898161,0.852,0.778,0.6786666666666666,0.18501386367693962,0.06233789456944677
ARD_mlp,20,cross_seed,1000,0.566,0.9214350849196398,0.1488373889580411,0.96,0.954,0.7133333333333334,0.08860542734473373,0.04891051195337001
SEPs_ridge,24,cv_5fold,1000,0.566,0.7210841705883311,0.2762247001806739,0.804,0.724,0.6493333333333333,,
SEPs_ridge,24,cross_seed,1000,0.566,0.7949227337122015,0.23441310341437327,0.836,0.776,0.6986666666666667,,
SEPs_logreg,24,cv_5fold,1000,0.566,0.7893129895295632,0.22018246962735544,0.9,0.79,0.66,0.22589381089939492,0.19433720093653728
SEPs_logreg,24,cross_seed,1000,0.566,0.9585131328263666,0.13409364598268103,0.98,0.954,0.7373333333333333,0.05562364970534179,0.05356208526311093
DCP_mlp,24,cv_5fold,1000,0.566,0.775524743124196,0.22281532197684323,0.864,0.766,0.672,0.2577970400607187,0.2364289656725162
DCP_mlp,24,cross_seed,1000,0.566,0.9542488316425395,0.13579635414383473,0.976,0.95,0.74,0.055999855328688654,0.05599904182391058
ARD_ridge,24,cv_5fold,1000,0.566,0.7742098321147678,0.23592324931418873,0.86,0.78,0.6693333333333333,0.19171005052243265,0.05603152307952767
ARD_ridge,24,cross_seed,1000,0.566,0.9242196023513702,0.15388947240771977,0.976,0.954,0.712,0.08877418947144226,0.046042442604477804
ARD_mlp,24,cv_5fold,1000,0.566,0.7640894953672794,0.24541069007867733,0.86,0.762,0.668,0.19579544845871077,0.03992993942705156
ARD_mlp,24,cross_seed,1000,0.566,0.9222492713031867,0.1504347668575822,0.956,0.954,0.7106666666666667,0.0888891772918528,0.049947788994371314
SEPs_ridge,27,cv_5fold,1000,0.566,0.7470241487681359,0.254312307360185,0.84,0.736,0.656,,
SEPs_ridge,27,cross_seed,1000,0.566,0.8021527087980982,0.2313191600758303,0.836,0.786,0.6986666666666667,,
SEPs_logreg,27,cv_5fold,1000,0.566,0.7670449919395548,0.23433393235617375,0.872,0.76,0.664,0.2468759647077374,0.2184489084335614
SEPs_logreg,27,cross_seed,1000,0.566,0.9523456709709988,0.13936780924470163,0.972,0.954,0.7346666666666667,0.05569019062583335,0.053653125219047915
DCP_mlp,27,cv_5fold,1000,0.566,0.7741976193190145,0.23413199923879668,0.856,0.772,0.668,0.2557747860832601,0.23950248537770563
DCP_mlp,27,cross_seed,1000,0.566,0.951433782221426,0.13893121463002717,0.968,0.946,0.74,0.05599988140773246,0.05599901640995941
ARD_ridge,27,cv_5fold,1000,0.566,0.7531875396915861,0.24461598788173297,0.848,0.766,0.6546666666666666,0.20160884759423348,0.06623988324124487
ARD_ridge,27,cross_seed,1000,0.566,0.9238206510234322,0.15457299107017763,0.976,0.954,0.712,0.08877971191750049,0.04603918159234528
ARD_mlp,27,cv_5fold,1000,0.566,0.7445001709791406,0.2512502103687804,0.848,0.764,0.648,0.20571467628223852,0.07587448110349733
ARD_mlp,27,cross_seed,1000,0.566,0.921463581443064,0.15092524100343244,0.972,0.956,0.7133333333333334,0.08904045748226601,0.04820538147724973
SEPs_ridge,28,cv_5fold,1000,0.566,0.7141798700558533,0.2775711648453481,0.78,0.718,0.636,,
SEPs_ridge,28,cross_seed,1000,0.566,0.7920852941655404,0.2366781208509997,0.816,0.774,0.6986666666666667,,
SEPs_logreg,28,cv_5fold,1000,0.566,0.7504844408982104,0.24524018272543377,0.852,0.754,0.6533333333333333,0.25360174414572795,0.2176731934096055
SEPs_logreg,28,cross_seed,1000,0.566,0.9559036654670987,0.1363641805496588,0.976,0.952,0.74,0.05569806015278847,0.05387343361946231
DCP_mlp,28,cv_5fold,1000,0.566,0.7511927830518962,0.24808069434230615,0.852,0.746,0.6653333333333333,0.2585523529335226,0.22656935934834765
DCP_mlp,28,cross_seed,1000,0.566,0.9538112064613832,0.13787065476498578,0.972,0.954,0.7373333333333333,0.055999836114184534,0.05599896318703661
ARD_ridge,28,cv_5fold,1000,0.566,0.7330934197456481,0.25292161268511576,0.864,0.736,0.6466666666666666,0.20955063869283272,0.05710201315005783
ARD_ridge,28,cross_seed,1000,0.566,0.9238084382276791,0.15456942328741233,0.976,0.954,0.712,0.08878203368385865,0.04603721491286494
ARD_mlp,28,cv_5fold,1000,0.566,0.7411701486704336,0.24974981136400923,0.844,0.762,0.6373333333333333,0.2062627791739174,0.07595893370349668
ARD_mlp,28,cross_seed,1000,0.566,0.9192164270244745,0.15575943172122445,0.964,0.958,0.7133333333333334,0.08897994962116292,0.05233056576769181
