setting,cost_model,method,coverage_total,utility_per_item,answer_threshold,defer_threshold
sample0,strict,logreg_teacher,0.523,0.5026,0.7533969533933416,0.4081611251255974
sample0,strict,logreg_teacher,0.53,0.5056,0.9013551655080891,0.3588417210873482
sample0,strict,logreg_teacher,0.53,0.506,0.8027163574315908,0.3588417210873482
sample0,strict,logreg_teacher,0.53,0.5068,0.7533969533933416,0.3588417210873482
sample0,strict,mlp_all,0.001,0.001,0.999548666632793,0.999548666632793
sample0,strict,mlp_all,0.43,0.43,0.9498032040454578,0.9498032040454578
sample0,strict,mlp_all,0.466,0.4516,0.9498032040454578,0.9000577414581228
sample0,strict,mlp_all,0.466,0.466,0.9000577414581228,0.9000577414581228
sample0,strict,mlp_all,0.471,0.469,0.9000577414581228,0.8503122788707876
sample0,strict,mlp_all,0.471,0.471,0.8503122788707876,0.8503122788707876
sample0,strict,mlp_all,0.478,0.4752,0.8503122788707876,0.8005668162834525
sample0,strict,mlp_all,0.478,0.478,0.8005668162834525,0.8005668162834525
sample0,lenient,best,0.001,0.001,0.9999999979604536,0.9999999979604536
sample0,lenient,best,0.483,0.4805,0.9500010204398652,0.9500010204398652
sample0,lenient,best,0.49,0.48360000000000003,0.9500010204398652,0.9000020429192768
sample0,lenient,best,0.49,0.4875,0.9000020429192768,0.9000020429192768
sample0,lenient,best,0.493,0.4899,0.9000020429192768,0.8500030653986884
sample0,lenient,best,0.493,0.4905,0.8500030653986884,0.8500030653986884
sample0,lenient,best,0.495,0.49210000000000004,0.8500030653986884,0.8000040878781
sample0,lenient,best,0.495,0.4925,0.8000040878781,0.8000040878781
sample0,lenient,best,0.496,0.4929,0.8500030653986884,0.7500051103575115
sample0,lenient,best,0.496,0.4935,0.7500051103575115,0.7500051103575115
sample0,lenient,best,0.5,0.4967,0.7500051103575115,0.7000061328369231
sample0,lenient,best,0.508,0.5025,0.8500030653986884,0.6500071553163347
sample0,lenient,best,0.508,0.5031,0.7500051103575115,0.6500071553163347
sample0,lenient,best,0.513,0.504,0.8500030653986884,0.5500092002751579
sample0,lenient,best,0.513,0.5046,0.7500051103575115,0.5500092002751579
sample0,lenient,logreg_self,0.001,0.001,0.8950751951344644,0.8950751951344644
sample0,lenient,logreg_self,0.002,0.002,0.8505969010813597,0.8505969010813597
sample0,lenient,logreg_self,0.011,0.0092,0.8505969010813597,0.8061186070282549
sample0,lenient,logreg_self,0.011,0.011,0.8061186070282549,0.8061186070282549
sample0,lenient,logreg_self,0.154,0.07590000000000001,0.8950751951344644,0.7616403129751502
sample0,lenient,logreg_self,0.154,0.07790000000000001,0.8061186070282549,0.7616403129751502
sample0,lenient,logreg_self,0.154,0.1065,0.7616403129751502,0.7616403129751502
sample0,lenient,logreg_self,0.265,0.1303,0.7616403129751502,0.7171620189220455
sample0,lenient,logreg_self,0.265,0.1525,0.7171620189220455,0.7171620189220455
sample0,lenient,logreg_self,0.418,0.15769999999999998,0.7616403129751502,0.6726837248689407
sample0,lenient,logreg_self,0.418,0.223,0.6726837248689407,0.6726837248689407
sample0,lenient,logreg_self,0.491,0.22640000000000002,0.6726837248689407,0.628205430815836
sample0,lenient,logreg_self,0.491,0.251,0.628205430815836,0.628205430815836
sample0,lenient,logreg_self,0.54,0.2575,0.5837271367627312,0.5837271367627312
sample0,lenient,logreg_self,0.588,0.258,0.5392488427096265,0.5392488427096265
sample0,lenient,logreg_self,0.622,0.2595,0.4947705486565217,0.4947705486565217
