strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
probe_cascade,SEPs_ridge,-1.2106868043683086,2.5662568145328097,0.358,0.09,0.09
probe_cascade,SEPs_ridge,-1.1583150099271582,2.7402853494809,0.362,0.1,0.1
probe_cascade,SEPs_ridge,-1.0972695238818797,2.9143138844289895,0.364,0.11,0.11
probe_cascade,SEPs_ridge,-1.061443533592058,3.0883424193770797,0.366,0.12,0.12
probe_cascade,SEPs_ridge,-1.007350672466193,3.2623709543251698,0.368,0.13,0.13
probe_cascade,SEPs_ridge,-0.9647430848148912,3.4363994892732594,0.368,0.14,0.14
probe_cascade,SEPs_ridge,-0.9577663284812429,3.6104280242213496,0.368,0.15,0.15
probe_cascade,SEPs_ridge,-0.912554856621531,3.7844565591694397,0.372,0.16,0.16
probe_cascade,SEPs_ridge,-0.8939616134338046,3.9584850941175302,0.376,0.17,0.17
probe_cascade,SEPs_ridge,-0.8332310668008571,4.1325136290656195,0.38,0.18,0.18
probe_cascade,SEPs_ridge,-0.8008202902347886,4.3065421640137105,0.38,0.19,0.19
probe_cascade,SEPs_ridge,-0.7760627193136371,4.4805706989618,0.384,0.2,0.2
probe_cascade,SEPs_ridge,-0.7411412006565715,4.65459923390989,0.388,0.21,0.21
probe_cascade,SEPs_ridge,-0.7193143115113931,4.828627768857979,0.394,0.22,0.22
probe_cascade,SEPs_ridge,-0.6805925446159267,5.002656303806069,0.394,0.23,0.23
probe_cascade,SEPs_ridge,-0.6476229647197033,5.176684838754159,0.394,0.24,0.24
probe_cascade,SEPs_ridge,-0.6128520617745292,5.350713373702249,0.396,0.25,0.25
probe_cascade,SEPs_ridge,-0.5996657872190091,5.5247419086503395,0.398,0.26,0.26
probe_cascade,SEPs_ridge,-0.5597919690735695,5.69877044359843,0.4,0.27,0.27
probe_cascade,SEPs_ridge,-0.5434289704723542,5.87279897854652,0.4,0.28,0.28
probe_cascade,SEPs_ridge,-0.5260678295641334,6.046827513494609,0.404,0.29,0.29
probe_cascade,SEPs_ridge,-0.508251450502844,6.220856048442699,0.406,0.3,0.3
probe_cascade,SEPs_ridge,-0.4901006027873026,6.394884583390789,0.408,0.31,0.31
probe_cascade,SEPs_ridge,-0.479613333788468,6.568913118338879,0.41,0.32,0.32
probe_cascade,SEPs_ridge,-0.4624771247947565,6.7429416532869695,0.414,0.33,0.33
probe_cascade,SEPs_ridge,-0.4402318991125427,6.9169701882350605,0.42,0.34,0.34
probe_cascade,SEPs_ridge,-0.4222443126080724,7.090998723183149,0.42,0.35,0.35000000000000003
probe_cascade,SEPs_ridge,-0.4069762879758829,7.265027258131239,0.42,0.36,0.36
probe_cascade,SEPs_ridge,-0.38208203650553524,7.439055793079329,0.418,0.37,0.37
probe_cascade,SEPs_ridge,-0.3594956025441791,7.613084328027419,0.416,0.38,0.38
probe_cascade,SEPs_ridge,-0.33592990082915,7.787112862975509,0.418,0.39,0.39
probe_cascade,SEPs_ridge,-0.3220559793706526,7.961141397923599,0.42,0.4,0.4
probe_cascade,SEPs_ridge,-0.2969379051273732,8.135169932871689,0.418,0.41,0.41000000000000003
probe_cascade,SEPs_ridge,-0.27930667909537515,8.309198467819778,0.418,0.42,0.42
probe_cascade,SEPs_ridge,-0.26375690463403434,8.483227002767869,0.422,0.43,0.43
probe_cascade,SEPs_ridge,-0.2401834552823844,8.657255537715958,0.42,0.44,0.44
probe_cascade,SEPs_ridge,-0.220586064543145,8.83128407266405,0.424,0.45,0.45
probe_cascade,SEPs_ridge,-0.19312839649012514,9.005312607612138,0.428,0.46,0.46
probe_cascade,SEPs_ridge,-0.17910791883222318,9.17934114256023,0.43,0.47,0.47000000000000003
probe_cascade,SEPs_ridge,-0.15808635728484333,9.353369677508319,0.436,0.48,0.48
probe_cascade,SEPs_ridge,-0.14179473428426206,9.52739821245641,0.44,0.49,0.49
probe_cascade,SEPs_ridge,-0.1174487634753465,9.701426747404499,0.44,0.5,0.5
probe_cascade,SEPs_ridge,-0.10330376541539332,9.875455282352588,0.44,0.51,0.51
probe_cascade,SEPs_ridge,-0.07970328966705222,10.049483817300679,0.44,0.52,0.52
probe_cascade,SEPs_ridge,-0.06930764771806876,10.223512352248768,0.44,0.53,0.53
probe_cascade,SEPs_ridge,-0.05492278713310945,10.39754088719686,0.442,0.54,0.54
probe_cascade,SEPs_ridge,-0.038047526430392706,10.571569422144949,0.44,0.55,0.55
probe_cascade,SEPs_ridge,-0.018489648022594035,10.74559795709304,0.442,0.56,0.56
probe_cascade,SEPs_ridge,0.006375857782520894,10.919626492041129,0.44,0.57,0.5700000000000001
probe_cascade,SEPs_ridge,0.021026963248603037,11.093655026989218,0.44,0.58,0.58
probe_cascade,SEPs_ridge,0.038932210394467134,11.267683561937309,0.442,0.59,0.59
probe_cascade,SEPs_ridge,0.04497118291147282,11.441712096885398,0.444,0.6,0.6
probe_cascade,SEPs_ridge,0.06024446629040498,11.61574063183349,0.444,0.61,0.61
probe_cascade,SEPs_ridge,0.08389935801837428,11.789769166781578,0.446,0.62,0.62
probe_cascade,SEPs_ridge,0.10401877318473715,11.96379770172967,0.45,0.63,0.63
probe_cascade,SEPs_ridge,0.12462199456391437,12.13782623667776,0.45,0.64,0.64
probe_cascade,SEPs_ridge,0.13961617524378392,12.31185477162585,0.452,0.65,0.65
probe_cascade,SEPs_ridge,0.15146534644466,12.485883306573939,0.452,0.66,0.66
probe_cascade,SEPs_ridge,0.17718270571523842,12.65991184152203,0.452,0.67,0.67
probe_cascade,SEPs_ridge,0.199171037845322,12.833940376470121,0.45,0.68,0.68
