auc_positive_high,cohen_d,comparison,family,feature,mean_diff,negative_count,negative_mean,positive_count,positive_mean
0.5212748534905544,0.15013997050243114,pure_correct_vs_pure_wrong,geometry,centroid_logprob_z,0.13176729140996982,804,-0.19311129403641042,281,-0.0613440026264406
0.5258228430799738,-0.10008343104572094,pure_correct_vs_pure_wrong,geometry,centroid_len_z,-0.08708227972277861,804,0.06779657425154813,281,-0.019285705471230485
0.2886036897363715,-0.6414997994499831,pure_correct_vs_pure_wrong,geometry,distance_to_sample0_entropy_logprob,-0.7575279162135121,804,1.3854125805135808,281,0.6278846643000687
0.7894291885766895,1.3230494845064387,pure_correct_vs_pure_wrong,geometry,top2_weight_margin,0.430183979354844,804,0.2676992056719998,281,0.6978831850268438
0.7493493387156743,0.7091652067873486,pure_correct_vs_pure_wrong,geometry,top2_logprob_margin,0.43032401348995675,804,0.569142421263959,281,0.9994664347539157
0.736446769710168,0.6302737298774678,pure_correct_vs_pure_wrong,geometry,top2_low_entropy_margin,0.38781346445738596,804,0.6242876993348688,281,1.0121011637922548
0.25900524070041253,-0.7950138453623222,pure_correct_vs_pure_wrong,geometry,low_entropy_basin_rank,-1.526438094226377,804,3.3022388059701493,281,1.7758007117437722
0.24645455994051096,-0.8216166766323979,pure_correct_vs_pure_wrong,geometry,logprob_basin_rank,-1.5721481560170676,804,3.31592039800995,281,1.7437722419928825
0.2329256741205007,-0.8712389871336691,pure_correct_vs_pure_wrong,geometry,weight_basin_rank,-1.6539632796869743,804,3.3407960199004973,281,1.686832740213523
0.2323989483189037,-0.8836281348652887,pure_correct_vs_pure_wrong,geometry,stable_basin_rank,-1.6754882172766061,804,3.3445273631840795,281,1.6690391459074734
0.3858996830792656,-0.36597800368713823,pure_correct_vs_pure_wrong,lexical_shape,within_basin_lexical_entropy,-0.17747040966722105,804,2.379563981132763,281,2.202093571465542
0.43513747986048407,-0.25098145714580267,pure_correct_vs_pure_wrong,lexical_shape,within_basin_jaccard,-0.035901029840454846,804,0.9631856580138226,281,0.9272846281733678
0.6581438890954481,0.15969938877945083,pure_correct_vs_pure_wrong,lexical_shape,internal_token_entropy_std,0.009256483582762917,804,0.011267028302810893,281,0.02052351188557381
0.6581438890954481,0.15969938877945083,pure_correct_vs_pure_wrong,lexical_shape,token_mean_entropy_std,0.009256483582762917,804,0.011267028302810893,281,0.02052351188557381
0.6258144331722172,0.1766193380583268,pure_correct_vs_pure_wrong,lexical_shape,logprob_avg_std,0.00885536510339849,804,0.01013422241797963,281,0.01898958752137812
0.6320864538517378,0.6632532204927395,pure_correct_vs_pure_wrong,lexical_shape,lexical_pca_anisotropy,0.2188695793903298,804,0.10524773149215594,281,0.32411731088248574
0.6253518882456047,0.339095272830903,pure_correct_vs_pure_wrong,lexical_shape,lexical_effective_dim,0.3281559968591049,804,0.22809046130114843,281,0.5562464581602533
0.6243825357199766,0.3412905406047406,pure_correct_vs_pure_wrong,lexical_shape,lexical_radius,0.05635221725328479,804,0.046221447505837565,281,0.10257366475912236
