auc_positive_high,cohen_d,comparison,feature,negative_count,negative_mean,positive_count,positive_mean
0.4907205959915612,0.04018596171034017,stable_correct_vs_stable_hallucination,riemann_curvature_proxy,158,0.1689256906138003,192,0.18192322993583657
0.5522316719409283,-0.009490593153716208,stable_correct_vs_stable_hallucination,riemann_effective_dim,158,0.6591648270294607,192,0.6482344344615355
0.5032304852320675,0.0224261828334528,stable_correct_vs_stable_hallucination,riemann_geodesic_distortion,158,0.342019492407234,192,0.3538383443436062
0.4571301424050633,-0.26268579316790064,stable_correct_vs_stable_hallucination,riemann_knn_density,158,0.18547317661241713,192,0.1232638888888889
0.46350870253164556,-0.17077350211182726,stable_correct_vs_stable_hallucination,riemann_local_radius,158,0.16459173291814402,192,0.12344939183094829
0.7073444092827004,0.8903868798934528,stable_correct_vs_stable_hallucination,stable_score,158,0.5781361834887857,192,0.6759675073642541
0.7323477056962026,1.0121811859184968,stable_correct_vs_stable_hallucination,top2_weight_margin,158,0.5759951362766396,192,0.8918765248220457
0.27614055907172996,-0.6971295577733998,stable_correct_vs_stable_hallucination,wf_entropy_max_mean,158,2.260369527312989,192,1.322640386011104
0.25286787974683544,-0.630715049356296,stable_correct_vs_stable_hallucination,wf_entropy_roughness,158,0.2718129451637675,192,0.09632638812421852
0.6970925632911392,0.7277628660070548,stable_correct_vs_stable_hallucination,wf_prob_min_mean,158,0.3615576384008123,192,0.5568778985742594
0.7973721251394275,1.481861185738545,pure_correct_vs_pure_wrong,cluster_size,804,1.9825870646766168,281,5.501779359430605
0.7971685168463731,1.4833770127911055,pure_correct_vs_pure_wrong,cluster_weight_mass,804,0.24642470493463836,281,0.6919827312662135
0.5452231723942564,0.23698932273295512,pure_correct_vs_pure_wrong,delta_cluster_weight_mass_vs_sample0,804,-0.07621135731533521,281,-0.022811924493011213
0.5102578743294205,0.06750211511615153,pure_correct_vs_pure_wrong,delta_fact_proxy_residual_vs_sample0,804,-0.006156773923167741,281,-0.0014926280986329189
0.5342194720348435,0.252495050946809,pure_correct_vs_pure_wrong,delta_hidden_riemann_curvature_proxy_vs_sample0,804,-0.05601741178118695,281,-0.0006248701604172477
