probe,layer,regime,n,base_acc,auroc,aurc,sel_acc@0.25,sel_acc@0.50,sel_acc@0.75,brier,ece
SEPs_ridge,20,cross_seed,1000,0.566,0.780939082574783,0.25470318926284896,0.78,0.772,0.6986666666666667,,
SEPs_logreg,20,cv_5fold,1000,0.566,0.7592695119766817,0.24033418867279377,0.844,0.75,0.6733333333333333,0.2627258685665817,0.23848789530434997
SEPs_logreg,20,cross_seed,1000,0.566,0.9574709742554266,0.13759647497667463,0.976,0.958,0.7373333333333333,0.05531352530099323,0.05216824707313229
DCP_mlp,20,cv_5fold,1000,0.566,0.7875909853283615,0.22401614299425163,0.888,0.776,0.6693333333333333,0.25364840912930425,0.24107082572126176
DCP_mlp,20,cross_seed,1000,0.566,0.9562680138737361,0.13623566854658387,0.976,0.952,0.736,0.055999781309587604,0.055998867765236326
ARD_ridge,20,cv_5fold,1000,0.566,0.745981990197196,0.25786621254425546,0.796,0.73,0.668,0.20091354852644872,0.04125112365025133
ARD_ridge,20,cross_seed,1000,0.566,0.9245737734282131,0.15277697300790158,0.976,0.954,0.712,0.08876472472343838,0.047247615884605125
ARD_mlp,20,cv_5fold,1000,0.566,0.7848756737392323,0.23150698619955856,0.876,0.752,0.6946666666666667,0.18578967122896792,0.05359704946184495
ARD_mlp,20,cross_seed,1000,0.566,0.9234379834231654,0.15223273914846008,0.968,0.958,0.7173333333333334,0.08941139857241505,0.048115822615876276
SEPs_ridge,24,cv_5fold,1000,0.566,0.7411131556235854,0.26621056047662656,0.8,0.744,0.664,,
SEPs_ridge,24,cross_seed,1000,0.566,0.7961358714236864,0.23769884790003304,0.832,0.79,0.6986666666666667,,
SEPs_logreg,24,cv_5fold,1000,0.566,0.7750484440898212,0.23445317517805925,0.88,0.754,0.6746666666666666,0.24755270804290322,0.22418479250432785
SEPs_logreg,24,cross_seed,1000,0.566,0.9580164791324031,0.13870333924898806,0.968,0.958,0.74,0.05547364519835213,0.053019748652874385
DCP_mlp,24,cv_5fold,1000,0.566,0.7808373092768397,0.23131727957145892,0.864,0.756,0.6853333333333333,0.2513859700902159,0.23860111569593206
DCP_mlp,24,cross_seed,1000,0.566,0.9549286772728013,0.1364741398414903,0.96,0.956,0.74,0.055999767374276116,0.05599896532948094
ARD_ridge,24,cv_5fold,1000,0.566,0.7581215091758806,0.24251278331953582,0.84,0.738,0.6653333333333333,0.1974382002123757,0.050773017575517096
ARD_ridge,24,cross_seed,1000,0.566,0.9239387080490467,0.15398377620693776,0.976,0.954,0.712,0.0887814918979659,0.04604923993714274
ARD_mlp,24,cv_5fold,1000,0.566,0.7781586360749704,0.23687860426213725,0.84,0.784,0.672,0.1891261945951378,0.055885252145237735
ARD_mlp,24,cross_seed,1000,0.566,0.9234949764700134,0.1491667336855606,0.98,0.956,0.7133333333333334,0.08969976283127701,0.04671629525124636
SEPs_ridge,27,cv_5fold,1000,0.566,0.7494585660549413,0.2628632566562299,0.788,0.74,0.68,,
SEPs_ridge,27,cross_seed,1000,0.566,0.8018880982234454,0.2327785392474541,0.836,0.8,0.6986666666666667,,
SEPs_logreg,27,cv_5fold,1000,0.566,0.8088290371431828,0.21436225898868616,0.904,0.788,0.6826666666666666,0.21700873052413444,0.1949754684402067
SEPs_logreg,27,cross_seed,1000,0.566,0.9576826627151489,0.1403961722176152,0.968,0.956,0.74,0.05558604790924564,0.053530847222182334
DCP_mlp,27,cv_5fold,1000,0.566,0.7979759326505024,0.22616575529125582,0.868,0.782,0.684,0.2303691717873104,0.19976049359905704
DCP_mlp,27,cross_seed,1000,0.566,0.9566873198612625,0.13738080407142828,0.972,0.958,0.74,0.05599979305078695,0.055999042295631234
ARD_ridge,27,cv_5fold,1000,0.566,0.8034146976925958,0.21287337724775607,0.92,0.8,0.6773333333333333,0.18083263801554217,0.06048133060043693
ARD_ridge,27,cross_seed,1000,0.566,0.924178893032193,0.15346864268635066,0.976,0.954,0.712,0.08878261983210325,0.044838271056177666
ARD_mlp,27,cv_5fold,1000,0.566,0.7987005585318591,0.2185239652109338,0.9,0.792,0.6786666666666666,0.18093672794588123,0.029646922413707404
ARD_mlp,27,cross_seed,1000,0.566,0.9204580612593835,0.154730429645009,0.964,0.954,0.7133333333333334,0.08966705785026773,0.04757615938885401
SEPs_ridge,28,cv_5fold,1000,0.566,0.7358942209050496,0.27900158827979643,0.78,0.726,0.664,,
SEPs_ridge,28,cross_seed,1000,0.566,0.7974019312501017,0.2424707635896017,0.808,0.796,0.6986666666666667,,
SEPs_logreg,28,cv_5fold,1000,0.566,0.8008744361759295,0.22188327368810004,0.872,0.784,0.6773333333333333,0.22201743319931178,0.19571419538845441
SEPs_logreg,28,cross_seed,1000,0.566,0.9587248212860887,0.13839162510700798,0.964,0.956,0.74,0.05554691391677806,0.05342398292668318
DCP_mlp,28,cv_5fold,1000,0.566,0.8008540815163407,0.22354815125937244,0.872,0.79,0.68,0.22920584648903755,0.20833782671497647
DCP_mlp,28,cross_seed,1000,0.566,0.9543098956213055,0.14087707043086767,0.968,0.954,0.7373333333333333,0.055999263193288955,0.05599747126647657
ARD_ridge,28,cv_5fold,1000,0.566,0.7934246307664751,0.22045838212971203,0.876,0.774,0.676,0.18330095014227105,0.03863782173912981
ARD_ridge,28,cross_seed,1000,0.566,0.92413004184918,0.15352203867587916,0.976,0.954,0.712,0.0887805526915146,0.04603738843065433
ARD_mlp,28,cv_5fold,1000,0.566,0.8000195404732051,0.21877352214123102,0.912,0.792,0.6653333333333333,0.18029497032605862,0.05003946026099606
ARD_mlp,28,cross_seed,1000,0.566,0.920156812297471,0.15030910796329577,0.96,0.952,0.7146666666666667,0.08985711987318051,0.04872585198625849
